Region,is24Hours,carParkCount,hasCarparkCost,invHourLim,hasTouristAttraction,currentType,numberOfConnectors,hasChargingCost
Wellington,TRUE,1,FALSE,0,FALSE,AC,2,TRUE
Wellington,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Tasman,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Marlborough,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Marlborough,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Marlborough,TRUE,1,FALSE,0,FALSE,DC,2,FALSE
West Coast,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Tasman,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Marlborough,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
West Coast,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Canterbury,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Canterbury,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
West Coast,TRUE,1,FALSE,0,FALSE,DC,2,FALSE
West Coast,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
West Coast,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Canterbury,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Canterbury,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
West Coast,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Canterbury,TRUE,1,FALSE,0,FALSE,Mixed,3,TRUE
Canterbury,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Canterbury,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Canterbury,TRUE,1,TRUE,0,FALSE,DC,4,TRUE
Canterbury,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Canterbury,TRUE,1,FALSE,0,FALSE,Mixed,3,TRUE
Canterbury,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
West Coast,TRUE,1,FALSE,0,FALSE,DC,4,TRUE
Canterbury,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Canterbury,FALSE,1,FALSE,0,FALSE,AC,2,TRUE
Canterbury,FALSE,1,FALSE,0,FALSE,AC,2,TRUE
Canterbury,TRUE,1,FALSE,0,FALSE,AC,2,TRUE
Canterbury,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Canterbury,TRUE,1,FALSE,0,FALSE,AC,2,TRUE
Canterbury,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Canterbury,TRUE,1,FALSE,0,FALSE,AC,2,TRUE
Canterbury,TRUE,1,FALSE,0,FALSE,AC,2,FALSE
Canterbury,TRUE,1,FALSE,0,FALSE,AC,4,TRUE
Canterbury,TRUE,1,FALSE,0,FALSE,AC,2,TRUE
